CODIGO	DESCRIPCION	CLIENTE	NUM_AUTOR	FECHA_RIGE	FECHA_VENCE	PORCENTAJE	TIPO_DOC	NOMBRE_INSTITUCION	CODIGO_INSTITUCION
145	Exoneración - CEK	01148	AL-00428996-20	2020-09-17	2021-08-24	13.00000000	04	Dirección General de Hacienda	
146	Exoneración - MALICK	01163	AL-00007094-21	2021-02-01	2022-02-01	11.00000000	04	Hacienda	
148	Exoneración  - ARGRI DEL OESTE	00221	AL-00143500-22	2022-10-28	2023-10-28	12.00000000	05	HACIENDA	01
151	Exoneración - ZOLLNER	00756	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
153	Exoneración - Viant	01202	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
154	Exoneración - BTH	00614	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
155	Exoneración - ORAMETRIX	01225	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
156	Exoneración - LEGADO ROMASO	00408	AL-00069518-23	2023-08-22	2025-08-07	12.00000000	05	Hacienda	01
157	Exoneración - CHEETAH	00630	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
158	Exoneración - RIMAC	00248	AL-00252730-21	2021-08-25	2022-06-08	13.00000000	05	HACIENDA	01
159	Exoneración - FUJITSU CONSULTI	00437	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
16	Exoneración - INST. CENTROAMER	00905	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
160	Exoneración - YEMA DORADA	00024	AL-00022705-25	2025-07-21	2029-07-14	12.00000000	04	Hacienda	01
162	Exoneración - Fundación UCR	00774	9635	2018-12-04	2035-01-01	11.00000000	05	Hacienda	01
165	Exoneración - COMERCIALIZ VARO	00576	AL-00262678-21	2021-09-17	2022-08-27	13.00000000	04	Hacienda	01
166	Exoneración - KAMUK	00179	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
167	Exoneración - DEL MONTE	00068	AL-00072536-23	2023-08-28	2025-08-28	13.00000000	04	Hacienda	01
168	Exoneración - CAMINOS DEL SOL	00253	AL-00024837-25	2025-08-05	2026-06-16	13.00000000	05	Hacienda	01
169	Exoneración - AGRIQUIMSA	01257	AL-00015645-24	2024-05-06	2026-05-06	13.00000000	04	Hacienda	
17	Exoneración - JUNTA EDUCACION	00455	AL-00016928-20	2020-05-11	2021-05-11	13.00000000	05	Hacienda	01
172	Exoneración - DIST ORGANIC PZ	01273	41824	2019-07-01	2035-01-01	12.00000000	05	Hacienda	
173	Exoneración - SSG SUPPORT SERV	01274	9635	2010-12-04	2035-01-01	13.00000000	05	Hacienda	
174	Exoneración - MICRO STAMPING	01240	9635	2018-12-04	2035-01-01	13.00000000	03	Hacienda	
176	Exoneración - CAFE DON SABINO	01285	AL-00010932-24	2024-03-20	2026-03-20	13.00000000	04	Hacienda	
177	Exoneración- GRUPO AGROINDUSTR	00354	AL-00100146-23	2023-12-19	2025-12-12	12.00000000	05	Hacienda	01
178	Exoneración - ASOC INST CULTU	00217	106540370	2022-09-28	2024-09-28	13.00000000	05	Hacienda	01
179	Exoneración - LAB ZEPOL	00363	AL-00098823-23	2023-12-13	2025-12-08	11.00000000	05	Hacienda	01
18	Exoneración - PRECISION CONCEP	00017	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
180	Exoneración - ORG ECOGREEN	00546	41824	2019-07-01	2025-01-01	12.00000000	05	Hacienda	
181	Exoneración - MOTORES OSAKA	01303	AL-00068257-21	2021-07-21	2022-07-06	13.00000000	04	Hacienda	
183	Exoneración - TFB MANUFACTURIN	01309	9635	2022-05-11	2035-01-01	13.00000000	05	Hacienda	01
184	Exoneración - OKAY INDUSTRIES	01310	9635	2022-05-12	2035-01-01	13.00000000	05	Hacienda	01
185	Exoneración - INVENTORY AND DI	01311	9635	2022-05-16	2035-01-01	13.00000000	05	Hacienda	
186	Exoneración- RESONETICS	00558	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
189	Exoneración - AUXIS COSTA RICA	00400	9635	2018-12-04	2035-01-01	13.00000000	05	Hacianda	01
19	Exoneración - OBERG COSTA RICA	00019	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
190	Exoneración - CIRTEC MEDICAL	01324	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	
192	Exo - EMBAJ DE LOS ESTADOS UN	00346	AL-00092143-22	2022-09-09	2023-05-18	13.00000000	05	Hacienda	01
194	Exoneración - BOSTON SCIENTIFC	00489	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
195	Exoneración- ITEK SOLUCIONES	01342	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
196	Exoneración- UNITED MEDICAL	01344	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
197	Exoneración- COOPERMEDICAL	01346	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
198	Exoneración - JOSE LUIS DELGAD	01350	37911	2019-09-25	2025-01-01	13.00000000	05	Hacienda	
199	Exoneración - JUNTA EDU INST J	00359	AL-00025089-22	2022-07-13	2023-07-13	13.00000000	05	Hacienda	01
2	Exoneración - GANADEROS INDUST	00427	AL-00067519-23	2023-08-16	2025-08-15	13.00000000	05	Hacienda	01
20	Exoneración - CONTROLES DE COR	00025	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
200	Exoneración - JUNTA EDU INST J	00359	AL-00025087-22	2022-07-13	2023-07-13	13.00000000	05	Hacienda	01
201	Exoneración - JUNTA ADM.INST.J	00301	AL-00025087-22	2022-07-13	2023-07-13	13.00000000	05	Hacienda	01
202	Exoneración - JUNTA ADM.INST.J	00301	AL-00025089-22	2022-07-13	2023-07-13	13.00000000	05	Hacienda	01
203	Exoneración- AMENTUM	01290	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
208	Exoneración  - Ben Cuerpo Bomb	01381	AL-00011092-22	2022-02-21	2023-02-21	13.00000000	04	Hacienda	
21	Exoneración - CONGELADOS DEL M	00028	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
210	Exoneración - Componentes Inte	01393	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	
211	Exoneración - Manufactura Emsa	01394	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	
213	Exoneración - ESMERALDA MURILL	00779	37911	2019-09-25	2025-01-01	13.00000000	05	Hacienda	
214	Exoneración - ESTABLISH LABS	00315	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
217	Exoneración - MATERIALES ELECT	01419	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
218	Exoneración - SERV LOGISTICOS	01420	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
219	Exonración - COLOPLAST	01409	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
22	Exoneración - HILOS A&E DE COS	00033	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
220	Exoneración - FUND AYUDENOS	00132	AL-00009794-23	2023-02-07	2024-02-07	13.00000000	04	Hacienda	
221	Exoneración - MICRA CONSULTING	00364	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
222	Exoneracion - COMERCIALIZADORA	01435	9365	2018-12-04	2035-01-01	13.00000000	05	Hacienda	
223	Exoneración - Baxter Americas	00236	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
224	Exoneración  - LINPREC	00714	AL-00069672-23	2023-08-23	2025-08-18	13.00000000	04	Hacienda	
225	Exoneración - EMBAJ ESTADOS UN	00346	402110273	2022-12-07	2025-12-07	13.00000000	05	Hacienda	01
226	Exoneracion -INSTAMASA	01439	AL-00040809-23	2023-05-23	2024-04-29	12.00000000	05	Hacienda	
227	Exoneración - ASOC PRO HOSP NI	00464	AL-00031911-23	2023-04-25	2024-04-25	13.00000000	05	Hacienda	01
228	Exoneración - RIVERPOINT CR	01452	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
229	Exoneración - MALICK	00175	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
23	Exoneración - GRIFFITH FOODS S	00038	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
230	Exoneración - MOLINOS de CR	00317	AL-00016805-24	2024-05-14	2026-05-14	12.00000000	05	Hacienda	01
231	Exoneración - MEDIPHARMA	00448	AL-00032780-24	2024-09-11	2025-07-04	13.00000000	05	Hacienda	01
232	Exoneración - GRANJA LOS ONCE	01062	AL-00089866-22	2022-09-06	2023-08-01	12.00000000	04	Hacienda	
235	Exoneración - CORP ARROCERA CR	00695	AL-00018574-25	2025-06-17	2027-09-29	12.00000000	04	Hacienda	01
236	Exoneración - CARN RETANA	01220	AL-00061639-23	2023-08-01	2025-07-26	12.00000000	04	Hacienda	
237	Exoneración - KELLINGTON LABOR	01476	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
239	Exoneración - PYP CONSTRUCCION	01488	AL-00074542-23	2023-08-30	2024-02-08	13.00000000	04	Hacienda	
24	Exoneración - COOPESA RL	00056	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
240	Exoneracion- CENTRO DE CIENCIA	01493	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	
241	Exoneración- ULTRPARK LAG	01494	9635	2018-12-04	2035-01-01	13.00000000	05		
242	Exoneracion- ULTRAPARK DOS	01493	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	
244	Exoneración - CEK	01148	AL-00083096-23	2023-10-26	2025-10-25	13.00000000	04	Hacienda	01
245	Exoneracion - TECH DATA	01498	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
246	Exoneración - PRO INNOV LUCIEN	01510	AL-00048818-23	2023-06-14	2025-04-12	13.00000000	04	Hacienda	
247	Exoneración - NITRILE GLOVES	01524	9635	2018-12-04	2035-01-01	13.00000000	03	Hacienda	
248	Exoneración - TEBRA TECH	00662	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
249	Exo - ASOC PRO HOSP NIÑOS	00464	AL-00031058-24	2024-08-28	2026-08-28	13.00000000	05	Hacienda	01
25	Exoneración - TERADYNE DE COST	00939	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
250	Exoneración - LOGISTICS BUSINN	01542	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	
251	Exoneración - DEL MONTE	00068	AL-00083707-23	2023-11-01	2025-10-31	13.00000000	04	Hacienda	01
252	Exoneración - DEL MONTE	00068	AL-00067718-23	2023-08-17	2025-08-17	13.00000000	04	Hacienda	
254	Exoneracion - ASOC JERUSALEM	01561	AL-00012737-24	2024-04-05	2026-04-05	13.00000000	04	Hacienda	
255	Exoneración - VANTIVE	01539	9635	2022-05-12	2035-01-01	13.00000000	05	Hacienda	01
257	Exoneracion - TERUMO CARDIOVAS	01575	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
258	Exoneracion - MALICK	00175	AL-00069704-23	2023-08-23	2025-08-23	11.00000000	04	Hacienda	
259	Exoneracion -PRO HOSP NIÑOS	00464	AL-00015915-24	2024-05-08	2026-05-08	13.00000000	05	Hacienda	01
26	Exoneración - CASA PROVEEDORA	00071	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
260	Exoneración - Municip Desampar	01577	MUNICIPALIDAD	2017-12-18	2025-12-18	13.00000000	03	hacienda	
261	Exonercion - AS SUKKAR	00698	AL-00014701-24	2024-04-25	2026-04-25	12.00000000	04	Hacienda	01
262	Exoneracion - EVOLUTION FREE Z	01585	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
264	Exoneracion - Precision y medi	00802	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
265	Exoneracion - LOS FORMONES	01594	41824	2019-07-01	2035-01-01	12.00000000	05	Hacienda	
266	Exoneracion - ECO CUPS INT	01589	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	
267	Exo - COCA COLA INDUSTRIAS SRL	01598	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
268	Exoneracion - JG Ingenieros	00241	AL-00032926-24	2024-09-12	2026-09-12	13.00000000	05	Hacienda	01
269	Exoneración - CCDR GRECIA	01609	MUNICIPALIDAD	2017-12-18	2025-12-18	13.00000000	03	Hacienda	
27	Exoneración - PROLEX S.A.	00076	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
270	Exoneracion - MEDIPHARMA	00448	AL-00016431-25	2025-05-30	2025-08-29	13.00000000	05	Hacienda	01
271	Exoneración - GENTPAC OUTSOURC	01620	9635	2024-12-04	2035-01-01	13.00000000	05	Hacienda	01
272	Exoneración - REINALDO VARGAS	01402	41824	2024-09-05	2025-09-05	12.00000000	05	Hacienda	01
273	EXONERACION-FLEXTRONICS COSTA	01395	9635	2025-05-29	2035-01-01	13.00000000	05	HACIENDA	01
274	EXONERACIÓN- RAU PRECISION	01642	9635	2025-05-29	2035-01-01	13.00000000	05	HACIENDA	01
275	Exoneracion - CORRUG ATLANTICO	00136	AL-00078042-23	2023-09-20	2025-09-04	13.00000000	04	Hacienda	01
276	Exoneración - AMERICAN TROPICS	01636	9635	2018-12-04	2035-01-01	13.00000000	05		01
277	Exoneración - PROGRESS SOFTWAR	01659	9635	2019-12-04	2035-01-01	13.00000000	05		01
278	Exoneración - INARI MEDICAL CR	01668	9635	2025-08-18	2035-01-01	13.00000000	05	Hacienda	01
279	Exoneración - PROD CONGELADOS	01669	9635	2025-08-19	2035-01-01	13.00000000	05		01
28	Exoneración - HOLOGIC  SURGICA	00081	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
280	Exoneración - ByC EXPORTADORES	01670	AL-00018350-24	2025-08-20	2026-05-27	13.00000000	05	Hacienda	01
281	Exoneración ByC EXPORTADORES D	01670	AL-0018349-24	2025-08-26	2026-05-27	13.00000000	05		01
282	Exoneración - ADMEDES	01676	9635	2025-09-18	2035-01-01	13.00000000	05		01
29	Exoneración - PANDUIT COSTA RI	00082	Ley 9635	2018-12-04	2035-01-01	13.00000000	05	Ministerio de Hacienda	01
30	Exoneración - PROCOMER	00089	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
31	Exoneración - ETIQUETAS IMPRES	00090	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
32	Exoneración - TRIMPOT ELECTRON	00094	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
33	Exoneración - TEGRA MEDICAL	00111	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
34	Exoneración - J.A.C.A	00147	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
35	Exoneración - SENSIENT COSTA R	00191	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
36	Exoneración - TROPICAL PARADIS	00192	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
37	Exoneración - ZONA FRANCA DEL	00205	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
39	Exoneración - MOOG	00246	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
4	Exoneración - GRANJA AVICOLA S	00296	AL-00355625-20	2020-07-28	2021-01-28	12.00000000	05	Hacienda	01
40	Exoneración - SAMTEC INTERCONN	00256	9635	2019-12-04	2035-01-01	13.00000000	05	Hacienda	01
41	Exoneración - ARTHROCARE COSTA	00260	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
42	Exoneración - MICROTECHNOLOGIE	00266	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
43	Exoneración - ALIGN TECHNOLOGY	00267	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
44	Exoneración - NITINOL DEVICES	00268	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
45	Exoneración - Phillips (Volcar	00273	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
46	Exoneración - COVIDIEN MANUFAC	00276	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
47	Exoneración - ICU MEDICAL COST	00280	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
48	Exoneración - DEROYAL CIENTIFI	00281	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
49	Exoneración - PROQUINAL COSTA	00292	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
5	Exoneración - PERSONNA DE CR S	00973	AL-00247340-19	2019-10-11	2020-08-31	13.00000000	04	Hacienda	
50	Exoneración - AMAZON SUPPORT S	00297	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
51	Exoneración - ABBOTT MEDICAL L	00313	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
52	Exoneración - SBM- MANAGEMENT	00325	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
53	Exoneración - DEL ORO SA	00327	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
54	Exoneración - PRENT AMERICAS C	00330	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
55	Exoneración - CHIQUITA TROPICA	00337	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
56	Exoneración - LANGUAGE LINE CR	00344	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
59	Exoneración - TERRAMIX S.A.	00371	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
60	Exoneración - LION RE SOURCES,	00375	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
61	Exoneración - INTERNATIONAL PR	00380	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
62	Exoneración - SISTEMAS GALILEO	00383	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
64	Exoneración - TECHNOENDS S.A	00401	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
65	Exoneración - JONES LANG LASAL	00411	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
66	Exoneración - FUJITSU CONSULTI	00437	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
67	Exoneración - MICROVENTION COS	00438	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
68	Exoneración - LOS ARALLANES S.	00440	9635	2019-12-04	2035-01-01	13.00000000	05	Hacienda	01
7	Exoneración - COUNTRY HOUSE SA	00294	AL-00260759-19	2019-12-23	2020-09-06	13.00000000	05	Hacienda	01
70	Exoneración - FRUTILIGHT S.A	00454	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
71	Exoneración - TELETECH CUSTOME	00462	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
72	Exoneración - UNION DEL OESTE	00467	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	
73	Exoneración - CONCENTRIX COSTA	00474	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
74	Exoneración - TECHDEVICE COSTA	00492	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
75	Exoneración - NELIPAK COSTA RI	00496	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
76	Exoneración - ROBERT BOSCH SER	00501	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
77	Exoneración - UNITED COLLECTIO	00503	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
78	Exoneración - ALLERGAN COSTA R	00506	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
79	Exoneración - L TRES COMUNICAC	00507	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
8	Exoneración - TRANSUNION S.A	00424	AL-00080900-21	2021-08-23	2022-08-28	13.00000000	05	Hacienda	01
80	Exoneración - ALIMENTOS PROSAL	00508	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
81	Exoneración - ATL TECHNOLOGY C	00527	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
82	Exoneración - CIRCUITO S.A	00529	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
83	Exoneración - PANI FRESH COSTA	00530	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
84	Exoneración - THERMO FISHER SC	00535	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
85	Exoneración - FISERV COSTA RIC	00549	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
86	Exoneración - SNAP TECHNOLOGY	00552	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
88	Exoneración - ELECTROPLAST S.A	00562	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
89	Exoneración - THERAGENICS COST	00587	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
90	Exoneración - SERVICIOS DE NEG	00597	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
91	Exoneración - PARADISE INGREDI	00605	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
92	Exoneración - PRECISION COATIN	00613	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
93	Exoneración - COMPAÑIA FRUTERA	00621	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
94	Exoneración - PFC TECNOLOGIAS	00626	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
95	Exoneración - CHEETAH TECHNOLO	00630	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
96	Exoneración - WALMART GSS LATI	00652	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
97	Exoneración - AGM AUTOMOTIVE C	00653	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
98	Exoneración - SMITHS INTERCONN	00656	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
99	Exoneración - CORPORACION DE I	00661	9635	2018-12-04	2035-01-01	13.00000000	05	Hacienda	01
