ARTICULO	DESCRIPCION	CLASIFICACION_2	ULTIMO_INGRESO	ACTIVO	NOTAS	UNIDAD_VENTA	CANASTA_BASICA	CODIGO_HACIENDA
1057	ALFOMBRA NOMAD 0.93 X 1.90 C/REBORDE (6369)	SUMINISTRO	Feb 24 2022 12:05AM	S	 	UND	N	2721000000100
1058	ALFOMBRA NOMAD 0.70 X 1.50 C/REBORDE (6370)	SUMINISTRO	Feb 24 2022 12:05AM	S	 	UND	N	2721000000100
1059	PAPEL ALUMINIO 25 PIES ALUMINE	SUMINISTRO	Jun 23 2020 12:00AM	S		ROLLO	N	4153501990100
106	TE TILO TRANQUILO  1X20	SUMINISTRO	Aug 19 2025  5:35PM	S	 	CAJITA	S	2391300000300
1060	ALFOMBRA NOMAD 1.12 X 1.40 C/REBORDE (6371)	SUMINISTRO	Feb 24 2022 12:05AM	S	 	UND	N	2721000000100
1061	PAD CARPET BONNET 17 3M P/ALFOMBRA/70071163177	SUMINISTRO	Aug  2 2020 10:16AM	S		UND	N	3533401000000
1062	TOALLA CLOROXDESINF EXPERT 1X30 034345	SUMINISTRO	Jun 30 2023  6:10PM	S	 	PTE	N	3466499020100
1063	BOMBA DISPENSAD P/ENVASE CAMPANITA 28-400 / BD621 AL	SUMINISTRO	Apr 22 2025  3:41PM	S	 	UND	N	3694000999900
1064	BOLSA ZIPLOC 24.3*34.3cm 1X1000	BZIPLOC	Sep  3 2021  4:51PM	S	 	CAJA	N	3641099990100
1065	GALLETA SODA CLUB 1 X12	SUMINISTRO	Aug 14 2025 11:59AM	S	 	PTE	S	2341000009900
1066	NECTAR MIXTO DE FRUTAS 1000ML	SUMINISTRO	Dec 23 2021  7:07PM	S		LT	N	
1067	BOLSA DE ALMACIGO 5X8 PULG NEGRA	BOLSAS	Sep  2 2021  5:38PM	S	 	KG	N	3641099019900
1068	ESPARADRAPO  PROSAN 2.5 CM X 5 M	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	
1069	CAFE 1820 DE 1000 GRS ROJO  (1 KILO) 	SUMINISTRO	Sep  6 2021 12:24PM	S	 	UND	N	
107	JUGO DE MANZANA TETRABRICK 1000ML	SUMINISTRO	Jun 23 2020 12:00AM	S		LT	N	2449002000300
1070	CREMA PARA CAFE LIVIANA 370 GRS	SUMINISTRO	Aug  2 2020 10:16AM	S		PTE	N	2399999001200
1071	CERA LIQUIDA KLARO BLANCA BOLSA	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	3533200019900
1072	CORTINA DE BAÑO	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	
1073	FILTROS PARA CAFEE  MR. COFEE 1X 100	SUMINISTRO	Sep 22 2020  7:13PM	S		PTE	N	3219903990200
1074	ALCOHOL GEL GAREND BOTELLA 240 ML	QUIMICOS	Jun 23 2020 12:00AM	S		UND	N	3532399000300
1075	REPUESTOS ZEP MANDARIN - ORANGE	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	
1076	REPUESTOS PARA REFRESQUERA	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	
1077	CAFE 1820 DE 500 GRAMOS ROJO 	SUMINISTRO	Aug 15 2023  5:25PM	S	 	UND	S	
1078	PUNTO ECOLOGICO 4 MODULOS 53LT S/MARCAR	SUMINISTRO	Apr 27 2021  6:07PM	S		UND	N	3694000999900
1079	GALLETAS HORNEADAS DE MAIZ 1X8  	SUMINISTRO	Sep 23 2021  9:36AM	S	 	PTE	N	2341000009900
108	JUGO NARANJA DOS PINOS 250ML	SUMINISTRO	Aug 18 2020  7:49AM	S		UND	N	2449002000300
1080	GALLETA BOKITA CON QUESO BLANCO 1X10	SUMINISTRO	Aug 20 2025  5:07PM	S	 	PTE	N	2341000009900
1081	GASAS PLASTICAS 10”	SUMINISTRO	Oct  6 2021  3:43PM	S	 	UND	N	2686000009900
1082	CLORO LIQUIDO AL 5%  ESTAÑON	QUIMICOS	Jun 23 2020 12:00AM	S		ESTN	N	3423101010000
1083	MANGAS ELASTICAS 1 X 100	SUMINISTRO	Jun 23 2020 12:00AM	S		PTE	N	2820799990000
1084	SALSA DE TOMATE BANQUETE 385 GMS	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	
1085	TE HIERBABUENA 1X25 UNID	SUMINISTRO	Aug 19 2025  5:35PM	S	 	CAJITA	S	2391300000300
1086	TE ZACATE LIMÓN 1X25 UNID	SUMINISTRO	Jun 23 2020 12:00AM	S		CAJITA	N	2391300000300
1087	ALKA SELTZER  FAMILIAR 1X60	SUMINISTRO	Jun 23 2020 12:00AM	S		CAJITA	N	
1088	PANADOL ULTRA  1X100	SUMINISTRO	Jun 23 2020 12:00AM	S		CAJITA	N	
1089	PANADOL MULTISINTOMAS NO SUEÑO	SUMINISTRO	Jun 23 2020 12:00AM	S		CAJITA	N	
109	JUGO NECTAR FRUTAS TETRABRICK 1000ML	SUMINISTRO	Jun 23 2020 12:00AM	S		LT	N	2449002000300
1090	CARTON PARA RECICLAR	OTROS	Jun 23 2020 12:00AM	S		KG	N	3215301009900
1091	MECATE DE NYLON	SUMINISTRO	Jun 23 2020 12:00AM	S		ROLLO	N	2731001009900
1092	VANISH ROSADO 2.8 KG	SUMINISTRO	Jun 23 2020 12:00AM	S		CUB	N	3532201999900
1093	ACIDO ACETICO  99%  (CUBETA 30K)	QUMIICODIST	Oct 23 2023  4:01PM	S	 	KG	N	3414001020100
1094	ENVASE CON ROCIADOR 22-415/ 2 OZ	ENVASES	Oct 12 2021  4:45PM	S	 	UND	N	3649002009900
1095	BOMBA DISPENSAD P/GALON 38-400	TAPAS	Oct 13 2021  4:57PM	S	 	UND	N	3699007990500
1096	SEÑALES PISO MOJADO AMARILLA TOLCO	SUMINISTRO	Oct 29 2021  6:53PM	S	 	UND	N	3699009009900
1097	ACEITE CLOVER 1000ML	SUMINISTRO	Jun 23 2020 12:00AM	S		LT	N	2165200009900
1098	CARBON SATO 110 X 110 COLOR NEGRO	SUMINISTRO	Nov  8 2021 11:44AM	S		UND	N	
1099	ETIQUETA - AMARILLA 4 X 4 CENTRO 3	MATPRIMAS	Jun 23 2020 12:00AM	S	 	UND	N	
11	PAPEL ALUMINIO 16 PIES ALUMINE	SUMINISTRO	Jun 23 2020 12:00AM	S		ROLLO	N	4153501990100
110	ACETONA PICHINGA 1x14 kgs	QUMIICODIST	Jul 29 2025  2:19PM	S	 	PICH	N	3417005010100
1100	BOLSA AL VACIO 7 X 9 UND	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	3641099999900
1101	GALLETA DANESAS	SUMINISTRO	Jun 23 2020 12:00AM	S		PTE	N	2341000009900
1102	DETERGENTE EN POLVO LARIANSA S/AROMA 9 KG / 51570	SUMINISTRO	Oct 21 2023 10:18AM	S	 	KG	N	3532201060000
1103	LIMPIADOR MR MUSCULO ANTIGRASA BOLSA  500ML	SUMINISTRO	Oct 28 2021  3:57PM	S	 	UND	N	3532201999900
1104	PICHINGA 30 LT USADA	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	3649001999900
1105	PICHINGA 60 LT USADA	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	3649001999900
1106	SALSA TOMATE BANQUETE BOTELLA 1X12	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	
1107	MAYONESA LIZANO LIMON 400 GR 1X12	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	
1108	ENVASE 2 OZ CILINDRICO NATURAL CON TAPA 22-415	ENVASES	Nov 10 2021  5:00PM	S	 	UND	N	3649002009900
1109	DESINFECTANTE TRONEX BRISA FRESCA GL 	SUMINISTRO	May  7 2025  4:39PM	S	 	GALON	N	3466499999900
111	DESINFECTANTE BAYCLIN BOLSA	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	3466499999900
1110	DESINFECTANTE TRONEX EXPLOSION FRUTAL GL 	SUMINISTRO	Feb 28 2022  6:40PM	S	 	GALON	N	3466499999900
1111	PALILLOS DE DIENTES AA 1X144X250 PREMIER	SUMINISTRO	Nov  4 2021  5:46PM	S	 	CAJITA	N	3191200990300
1112	PLATO #8 PLASTICO FESTIVAL 1X12 	SUMINISTRO	Aug  8 2025  4:59PM	S	 	PTE	N	3694000010300
1113	DESINF. IREX LIMA LIMON GALON 	IREX	Jan 19 2023  3:31PM	S	 	GALON	N	3466499999900
1114	DESINF. IREX AROMAS DEL BOSQUE GALON 	IREX	Dec 15 2022  2:24PM	S	 	GALON	N	3466499999900
1115	AIRWICK AROMATIZ DE AMBIENTE CONTINUO 1X3 17.6 OZ	SUMINISTRO	Nov 17 2021  8:12AM	S	 	PTE	N	3533199000000
1116	DETERGENTE EN POLVO LARIANSA S/AROMA 2.5 KG / 51720	SUMINISTRO	Mar 11 2022  1:19PM	S	 	PTE	N	3532201060000
1117	TROPICAL FRUTAS 350ML  	SUMINISTRO	Jul 22 2025 10:47AM	S	 	UND	N	2399905000200
1118	TROPICAL MELOCOTON 350ML  	SUMINISTRO	Sep  5 2023  5:21PM	S	 	UND	N	2399905000200
1119	REFRESCO FANTA NARANJA  355ML	SUMINISTRO	Sep  5 2023  5:21PM	S	 	UND	N	2449001000000
1120	AIR WICK ELECTRICO APARATO + 9 REPUESTOS	SUMINISTRO	Dec  7 2021  5:40PM	S	 	UND	N	3533199000000
1121	HORCHATA 1 KL  	SUMINISTRO	Feb  6 2025  5:42PM	S	 	UND	S	2399905000300
1122	TE MELOCON 1 KL   	SUMINISTRO	Mar 20 2024  4:58PM	S	 	UND	N	2449002000200
1123	TE FRUTAS 1 KL   	SUMINISTRO	Mar 20 2024  4:58PM	S	 	UND	N	2399905000200
1124	TE LIMON 1 KL   	SUMINISTRO	Mar 20 2024  4:58PM	S	 	UND	N	2449002000200
1125	ACEITE CLOVER PICHINGA 17 L	SUMINISTRO	Jun 17 2025  5:16PM	S	 	PICH	S	2165200009900
1126	MECHA ALGODON P/PISO # 50	JESAN	Jul 16 2025  2:45PM	S	 	UND	N	2732099000200
1127	MECHA ALGODON P/PISO # 40	JESAN	Jul 16 2025  2:45PM	S	 	UND	N	2732099000200
1128	PALO PISO FIBRA DE VIDRIO COLOR ANARANJADO	SUMINISTRO	Jan  3 2022  5:20PM	S	 	UND	S	3694000990400
1129	TE LIMONADA 500 GRS  	SUMINISTRO	Jul 31 2023  4:30PM	S	 	UND	N	2449002000200
113	SQUEGEE P/CRISTALES CON FELPA VIRUTEX	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	3899301999900
1130	TE NARANJA 1 KL   	SUMINISTRO	Apr  2 2025  5:19PM	S	 	UND	N	2449002000200
1131	BLOQUEADOR SOLAR HAWAIIAN TROPIC 240ML  	SUMINISTRO	Jan 18 2022  6:11PM	S	 	UND	N	3532302000200
1132	PLASTICO PALETIZAR NORMAL 18" X 500 FT	STRECHFILM	Jul 25 2023  5:41PM	S	 	ROLLO	N	3641099999900
1133	CUCHARA PLASTICA 1 X25	SUMINISTRO	Feb  7 2023  6:00PM	S	 	PTE	N	3694000010100
1134	 RAID NARANJA APARATO REPUESTO LIQUIDO 21.9C12	SUMINISTRO	May 15 2023  4:41PM	S	 	UND	N	3466100990200
1135	ALFOMBRA NOMAD 0.75 X 1.65 CON BORDE NEGRA LISA	SUMINISTRO	Jul 20 2022  4:47PM	S	 	UND	N	2721000000100
1136	ALFOMBRA NOMAD 0.70 X 1.35 CON BORDE NEGRA LISA	SUMINISTRO	Feb 24 2022 12:07AM	S	 	UND	N	2721000000100
1137	ALFOMBRA NOMAD 0.58 X 0.58 SIN BORDE NEGRA LISA	SUMINISTRO	Feb 24 2022 12:05AM	S	 	UND	N	2721000000100
1138	ALFOMBRA NOMAD 0.50 X 1.80 SIN BORDE NEGRA LISA	SUMINISTRO	Feb 24 2022 12:05AM	S	 	UND	N	2721000000100
1139	ALFOMBRA NOMAD 1.20 X 1.60 CON BORDE NEGRA LISA	SUMINISTRO	Feb 24 2022 12:07AM	S	 	UND	N	2721000000100
1140	TOALLA CLOROXDESINF A/FRESCO EXPERT 1X15	SUMINISTRO	Feb 18 2022  5:22PM	S	 	UND	N	3219302039900
1141	TOALLA EXTENDER EMOTION GP UNIDAD/89460	SUMINISTRO	Feb 23 2022  5:44PM	S	 	UND	N	3219302039900
1142	BASTÓN MADERA EXTREMO C/ROSCA LARGO 60” QUICKIE 54109	SUMINISTRO	Feb 28 2022  1:27PM	S	 	UND	N	3694000990300
1143	TE ROJO 1 X20  	SUMINISTRO	Aug 13 2025  5:10PM	S	 	CAJITA	S	2449002000200
1144	TOALLAS HUMEDAS HUGGIES 1X96 30240462	SUMINISTRO	Mar  4 2022  5:49PM	S	 	PTE	N	3219302030100
1145	TAPETE ADHESIVO XCLEAN AZUL 26”X45” (5X60HJ)  	SUMINISTRO	Mar  8 2022 12:29PM	S	 	CAJA	N	3692000009900
1146	PLASTICO ADHESIVO ALIMENT 18” X 2000 PIES DPV0104 EMP BELEN	SUMINISTRO	Mar 15 2022 12:08PM	S	 	ROLLO	N	3641099999900
1147	TAPETE ADHESIVO XCLEAN BLANCO  26”X45” (5X60HJ)  	SUMINISTRO	Mar 21 2022  6:06PM	S	 	CAJA	N	3692000009900
1148	TAPA ASIENTO INODORO PLASTICO BLANCO  	SUMINISTRO	Apr  4 2022 12:29PM	S	 	UND	N	3693004000000
1149	 REMOVEDORES PLASTICO BEVERAGE STIRRER 1X1000	SUMINISTRO	Apr  7 2022 12:57PM	S	 	CAJITA	N	3699099999900
115	PLAQUITAS ZANCUDOS RAID 24 UND	SUMINISTRO	Jun 23 2020 12:00AM	S		CAJITA	N	
1150	 BOLSA 100 X 120CM X 3.5 CELESTE OXO KG	BOLSAS	Jul 18 2025  6:39PM	S	 	KG	N	3641099999900
1151	TAPA #8 POLYPLASTIC BOQUILLA BLANCA 1X1000	SUMINISTRO	Apr 19 2022  4:51PM	S	 	CAJA	N	3694000010100
1152	 PORTA PAD 21” CEPILLO	SUMINISTRO	Apr 29 2022  4:00PM	S	 	UND	N	3699099999900
1153	ALQUILER CASA DE HABITACION	OTROS	Apr 29 2022  7:20PM	S	 	SP	N	7211100000100
1154	CAFÉ LEYENDA CAPUCHINO 250GR	SUMINISTRO	Jan  5 2023  1:20PM	S	 	PTE	S	
1155	BOLSA ZIPLOCK  10"X13" 2MM - CLEARZIP CZ21013 CAJA 1X1000	BZIPLOC	Jul 15 2025 10:55AM	S	 	CAJA	N	3641099990100
1156	BOLSA ZIPLOCK  5"X7" 2MM - CLEARZIP CZ20507 CAJA 1X1000	BZIPLOC	Nov 18 2024  1:49PM	S	 	CAJA	N	3641099990100
1157	ESCOBA JUMBO ROJA SIN PALO ETERNA	SUMINISTRO	Apr 11 2024  5:00PM	S	 	UND	S	3899301020100
1158	ESCOBA JUMBO NARANJA CON PALO ETERNA	SUMINISTRO	May 11 2022  4:01PM	S	 	UND	N	3899301020100
1159	REMOVEDORES PARA CAFE 17 CM (MADERA) 1 X 500	SUMINISTRO	Jun  6 2022  5:07PM	S	 	PTE	N	3699099999900
1160	REPELENTE OFF DEEP WOODS	SUMINISTRO	May 19 2022  1:37PM	S	 	UND	N	3532399000400
1161	REPELENTE OFF TROPICAL FRESH	SUMINISTRO	May 19 2022  1:38PM	S	 	UND	N	3532399000400
1162	CUBETA BLANCA 8QT (7.5L) POLIETILENO	OTROS	Jun  2 2022 12:17PM	S	 	UND	N	3649001990100
1163	CUBETA TRANSPARENTE 8QT (7.5L) POLICARBONATO	OTROS	Jun  2 2022 12:19PM	S	 	UND	N	3649001990100
1164	TAPA BLANCA CUBETA 8QT (7.5L) POLIETILENO	OTROS	Jun  2 2022 12:20PM	S	 	UND	N	3649001990100
1165	TAPA TRANSPARENTE CUBETA 8QT (7.5L) POLICARBONATO	OTROS	Jun  2 2022 12:21PM	S	 	UND	N	3649001990100
1166	ALFOMBRA NOMAD 0.60 X 0.80 MTS C/REBORDE NEGRA LISA	SUMINISTRO	Jun  7 2022  8:18AM	S	 	UND	N	2721000000100
1167	RAID NARANJA REPUESTO LIQUIDO 21.9 ml	SUMINISTRO	Jun 15 2022  4:53PM	S	 	UND	N	3466100990200
1168	PLASTICO ADHESIVO PC PLASTI-CLING 12" X 600MTS	SUMINISTRO	Jul 27 2022 11:03AM	S	 	ROLLO	N	3692000009900
1169	ALFOMBRA ANTIFATIGA ERGONOMAT	SUMINISTRO	Jun 28 2022  6:19PM	S	 	UND	N	2721000000100
117	CLORO AL 3.5% PICHINGA 5 GALONES	SUMINISTRO	Oct 26 2022  4:20PM	S		PICH	N	3423101010000
1170	PERCOLADOR ERICK-SON  60 T	SUMINISTRO	Aug  3 2022  6:09PM	S	 	UND	N	3722101010300
1171	CUCHARAS PLÁSTICAS BLANCAS 1X15 LINK 15.24CM	SUMINISTRO	May 22 2025  5:29PM	S	 	PTE	N	3694000010100
1172	ESPONJA VERDE VICTORIA BAY ENTERA 6 X 9" VB-96MSP 1 X 20	SUMINISTRO	Aug 17 2022  5:59PM	S	 	UND	N	3533401000000
1173	AMARRAS PLASTICAS 6” PAQUETE 100U	SUMINISTRO	Apr 28 2025  4:28PM	S	 	PTE	N	
1174	AMARRAS PLASTICAS 8” PAQUETE 100U	SUMINISTRO	Aug 18 2022  5:30PM	S	 	PTE	N	
1175	BALDE PLASTICO NEOPLAST 15LT CON TAPA	SUMINISTRO	Aug 30 2022  3:19PM	S	 	UND	N	3699012001600
1176	KIT ETIQUETAS PARA BASURERO RECICLAJE ESPAÑOL	SUMINISTRO	Aug 30 2022  3:10PM	S	 	UND	N	3219700010000
1177	TOALLA HUGGIES ACT FRESH FLIP TOP 12X96	SUMINISTRO	Jul 20 2023  4:02PM	S	 	CAJA	S	3219302039900
1178	AIR WICK ESFERA VARIOS AROMAS	SUMINISTRO	May  5 2025  5:20PM	S	 	UND	N	3533199000000
1179	LYSOL AEROSOL EARLY MORNING 19 OZ/538 GR	SUMINISTRO	Sep  9 2022  5:39PM	S	 	UND	N	3466499999900
118	PINZA CORRIENTE	SUMINISTRO	Jun 23 2020 12:00AM	S		UND	N	
1180	LYSOL AEROSOL MANGO  19 OZ/538 GR	SUMINISTRO	Sep  9 2022  5:39PM	S	 	UND	N	3466499999900
1181	BASURERO ACERO INOXIDABLE REDONDO T-P 8LT	SUMINISTRO	Sep 28 2022  3:08PM	S	 	UND	N	3694000999900
1182	TAPE HOT MELT TRANSP 72mm X 37mic X 80Y	SUMINISTRO	Apr 12 2023  3:21PM	S	 	UND	N	2792200000100
1183	ALAMBRE REVESTIDO COLOR BLANCO LARGO 3.5 PULG BOLSA 2000 UNIDS	BOLSAS	Mar  3 2025  4:16PM	S	 	CAJA	N	3641099999900
1184	GUANTE P/ALIMENTO GRANDE SENSITEX (CAJ 100 cajitas 100 unds)	SUMINISTRO	May 10 2023  5:28PM	S	 	CAJA	N	2824301009900
