CLIENTE	NOMBRE	DIRECCION	TELEFONO1	CONTRIBUYENTE	MONEDA	LIMITE_CREDITO	CONDICION_PAGO	VENDEDOR	ACTIVO	E_MAIL	EMAIL_DOC_ELECTRONICO
00031	FUNDACION SERVIO FLORES ARROYO	ALAJUELA, BARRIO FATIMA.	99999999	3006161959	CRC	300000.00000000	30	0005	S	connier@fundacionsfa.org	facturaelectronica@fundacionsfa.org
00032	GRUPO POZUELO & PRO G P P S.A	DEL ASILO DE ANCIANOS 200M SUR, 600M OESTE 200M SUR CIUDAD COLON CALLE LAS CARRERAS	99999999	3101195436	CRC	8000000.00000000	45	0003	S	cuentasporpagar@prosnacks.com	compras@prosnacks.com
00033	HILOS A&E DE COSTA RICA SA	ZONA FRANCA METROPOLITANA BARREAL HEREDI	99999999	3101107803	CRC	300000.00000000	30	0005	S	ricardo.solis@amefird.co.cr	facturacionelectronica@elevatetextiles.com
00034	ASVEQUI S.A.	ALAJUELA, 200 oeste y 150 sur de TICAL	99999999	3101174446	CRC	5000000.00000000	30	0007	S	info@asvequi.com	fe@asvequi.com
00035	SCHNEIDER CENTROAMERICANA LTDA	OFICENTRO EL CEDRAL, CONTIGUO WAL MART ESCAZÚ	99999999	3102029195	CRC	2000000.00000000	45	0011	S	recepcionfacturacr@se.com	recepcionfacturacr@se.com
00036	CORP. COMPAÑIAS AGROINDUSTRIALES CCA S.R.L.	CARNES Y EMBUTIDOS/CIRUELAS	99999999	3102085278	CRC	5000000.00000000	60	0007	S	CAMCRCUE49@wal-mart.com	dtecr.prod@einvoicing.signature-cloud.com
00037	INVERSIONES PERMANENTES IMPERSA S.A.	CONTIGUO HOTEL RADISSON, SAN JOSE	99999999	3101047223	CRC	1000000.00000000	30	0011	S	kduarte@larepublica.net	cuentasporpagar@larepublica.net
00038	GRIFFITH FOODS SA	LAGUNILLA HEREDIA 1.5 KM OEST JARDIN REC	99999999	3101015207	CRC	35000000.00000000	90	0003	S	crap@griffithfoods.com	cenamap@griffithfoods.com
00039	COUNTRY DAY SCHOOL LTD.	ENTRADA HACIENDA ESPINAL, SAN RAFAEL, ALAJUELA	99999999	3102009768	CRC	5000000.00000000	30	0012	S	giovanni_rodriguez@cds.ed.cr	facturacion_electronicacp@cds.ed.cr
00040	MARCOS ALFARO CHAVEZ	SAN CARLOS	99999999	207120741	CRC	1.00000000	1	0011	S	marcosch.facturas@gmail.com	marcosch.facturas@gmail.com
00041	SEGURIDAD Y PREVENCION MAU SA	ALAJUELA	99999999	3101320989	CRC	1000000.00000000	30	0011	S	mumana05@ice.co.cr	mumana05@ice.co.cr
00042	CAFE BRITT COSTA RICA SA	400 MTS. NORTE Y 500 MTS. OESTE DE AUTOMERCADO HEREDIA	99999999	3101153905	CRC	15000000.00000000	45	0008	S	salvarado@britt.com	facturascr@britt.com
00043	FESA FORMAS EFICIENTES S.A	URUCA CONTIGUO POLYMER	99999999	3101183093	CRC	500000000.00000000	120	0003	S	facturacion.envio.fesa@sicsoftsa.com	facturacion.envio.fesa@sicsoftsa.com
00044	PANASONIC CENTROAMERICANA S.A	BELEN	99999999	3101009981	CRC	500000.00000000	30	0011	S	madrigal.javier@cr.panasonic.com	madrigal.javier@cr.panasonic.com
00045	UPS SCS COSTA RICA LTDA	Sobre la Radial Alajuela Frente a Plaza Mango, edificio Aerocentro Cuarto piso.	24434383	3102281927	CRC	1000000.00000000	30	0014	S	ldp8rvq@ups.com	upsscscrfacerecibidos@ups.com
00046	RINCON GRANDE SA	PAVAS Rincon grande, del pantel del ICE 75 metros al norte	99999999	3101102756	CRC	1000000.00000000	30	0011	S	admin2@rincongrande.co.cr	admin2@rincongrande.co.cr
00047	LA CASA DE LA LIMPIEZA IMPECABLE SA	GUADALUPE, DEL COLEGIO DIVINO PASTOR 100 OESTE Y 75 NORTE	99999999	3101304624	CRC	1000000.00000000	45	0011	S	servicioalcliente@impecablecr.com	facturas@impecablecr.com
00048	NEWREST COSTA RICA S A	CoopSurg, entregar por recepción, al lado izquierdo, (tocar timbre)	99999999	3101680539	CRC	500000.00000000	30	0012	S	cr.conta@newrest.eu	cr.conta@newrest.eu
00049	COOPEMONTECILLOS R.L	ALAJUELA CONTIGUO AL PANTEL DEL MOPT EN MONTECILLOS	99999999	3004075581	CRC	15000000.00000000	45	0008	S	pablo.boza@montecillos.com	viviana.sanchez@montecillos.com
00050	TELEVISORA DE COSTA RICA SA	SABANA SAN JOSE	99999999	3101006829	CRC	4000000.00000000	30	0005	S	compras@teletica.com	factura@teletica.com
00051	ASOC  CRISTIANA DE COMUNICACIONES	PAVAS DE LA ESCUELA CARLOS SANABRIA 40 METROS AL OESTE	99999999	3002087097	CRC	1000000.00000000	30	0011	S	dblanco@enlace.org	murena@enlace.org
00052	ASOC. UNIVERSIDAD ADVENTISTA DE CENTROAMERICA	1KM AL NORTE DE LA CORTE ALAJUELA	99999999	3002507473	CRC	1500000.00000000	30	0007	S	wreyes@unadeca.net	facturaelectronica@unadeca.net
00053	DISTR. HERRERA Y GODINES SRL	SAN RAFAEL DE ALAJUELA,800 O PANASONIC	99999999	3102726971	CRC	2000000.00000000	30	0011	S	william.wilgab@gmail.com	WILGAB@ICE.CO.CR
00054	ZETA INTERNACIONAL    SA	BARREAL HEREDIA	99999999	3101131065	CRC	100000.00000000	30	0011	S	lespinoza@zetagas.co.cr	lespinoza@zetagas.co.cr
00055	HOTEL PASEO LAS DAMAS SA	SAN JOSE	99999999	3101358670	CRC	500000.00000000	30	0005	S	cxp@casinoclubcolonial.com	fachotel@paseolasdamas.com
00056	COOPESA RL	ALAJUELA CONTIGUO AEROPUERTO	99999999	3004045086	CRC	1000000.00000000	30	0012	S	mrodriguez@coopesa.com	comprobante@coopesa.com
00057	DISTRIBUIDORA DE ACCESORIOS PLASTICOS S.A (DAPLASA)	CINCO ESQUINAS TIBAS, DE REPUESTOS EL TREBOL 150 METROS OESTE	99999999	3101069740	CRC	3000000.00000000	30	0009	S	facturaelectronica@daplasa.com	info@daplasa.com
00058	DISTRIBUIDORA LA FLORIDA SOCIEDAD ANONIMA	DOS PINOS 400 OE CARRET.CRUCE DE MANOLOS	99999999	3101295868	CRC	5000000.00000000	60	0008	S	recepcionfacturaelectronica@fifco.com	recepcionfacturaelectronica@fifco.com
00059	SIGMA ALIMENTOS COSTA RICA SA	CARTAGO, TIERRA BLANCA  , CAMINO HACIA EL VOLCAN IRAZU.	99999999	3101039749	CRC	200000000.00000000	120	0008	S	jvillalobos@sigma-alimentos.co.cr	comprascrsigma@sigma-alimentos.com
00060	EMPAQUES BELEN S A	SAN RAFAEL ALAJUELA, 300 SUR REFORMA	99999999	3101135332	CRC	300000.00000000	30	0011	S	fereceptor@empaquesbelen.com	fereceptor@empaquesbelen.com
00061	PROVEEDORA BRENES SA	SAN JOSE	99999999	3101069071	CRC	300000.00000000	30	0011	S	ventas@cafeproveedora.co	compras@cafeproveedora.com
00062	CORP. ACADEMICA CULTURAL COSTARRICENSE	CARRILLOS ALAJUELA, MONTE DEL MAGO	99999999	3101159426	CRC	5000000.00000000	30	0011	S	info@iclc.ws	info@iclc.ws
00063	COOPELECHE RL	SAN JUAN DE SAN RAMON 100 NOROESTE DE LA PLAZA DE DEPORTES CARRETERA A ZARCERO	99999999	3004045368	CRC	5000000.00000000	30	0011	S	rflores@coopeleche.cr	fecoopeleche@gmail.com
00064	DISTRIBUIDORA DE HUEVOS LA ROSA SA	LA GARITA 900 SUR ESCUELA TAPIA BLANCA	99999999	3101213992	CRC	300000.00000000	30	0011	S	praderafacturaelectronica2018@gmail.com	praderafacturaelectronica2018@gmail.com
00065	INDUSTRIAS ORSA O S  SA	SAN JOSE COLIMA TIBAS	99999999	3101524807	CRC	5000000.00000000	30	0011	S	facturacion@industriasorsa.com	facturacion@industriaorsa.com
00066	DESARROLLOS HOTELEROS GUANACASTE SA	HOTEL WESTIN RESORT, PLAYA CONCHAL/  ENCOMIENDAS TEMPISQUE	99999999	3101123031	CRC	100000.00000000	60	0012	S	tesoreriapagos@fifco.coom	recepcionfacturaelectronica@fifco.com
00067	DESATUR CARIARI SA	CARIARI	99999999	3101224320	CRC	100000.00000000	30	0005	S	finanzas@cariari.co.cr	factura.electronica@cariari.co.cr
00068	CORP. DESARROLLO AGRICOLA DEL MONTE SA	SAN JOSE EDIFICIO DEL MONTE 200 ESTE DEL PERIODICO LA REPUBLICA BARRIO TURNON	99999999	3101010882	CRC	25000000.00000000	30	0002	S	kcubillo@FreshDelmonte.com	crefac@freshdelmonte.com
00069	CARLOS BRENES ARCE	PROVEEDURIA ASEMECO	99999999	401240244	CRC	5000000.00000000	30	0011	S	cbrenes@clinicabiblica.com	cbrenes@clinicabiblica.com
00070	COOP PRODUCTORES DE LECHE DOS PINOS RL	ALAJUELA	99999999	3004045002	CRC	100000000.00000000	60	0008	S	dgutierrezr@dospinos.com	facturaelectronicacxc@industriasgarend.com
00071	CASA PROVEEDORA PHILLIPS SA	ALAJUELA	99999999	3101064786	CRC	5000000.00000000	30	0012	S	s.ramirez@newrest.eu	cr.conta@newrest.eu
00072	PURDY AUTO S.A	SAN JOSE	99999999	3101113456	CRC	1000000.00000000	30	0014	S	bodega_suministros@purdymo.com	fecompras@purdymo.com
00073	SARA IMPLEMENTACIONES DE CR, S.A.	3 PISO EDIFICIO AMERICAN AIRLINES	99999999	3101494900	CRC	1000000.00000000	30	0011	S	gcastro@csye.com	facturasara@csye.com
00074	LIMPIEZAS EXCELENTES S.A	GUADALUPE	99999999	3101125282	CRC	5000000.00000000	30	0011	S	limpexsa@ice.co.cr	facturalimpex@gmail.com
00075	GRANJA AVICOLA LA PRADERA SA	LA GARITA  DE ESC. FERNANDO GUARDIA 900 SUR TAPIA BEIGE	99999999	3101194884	CRC	300000.00000000	30	0005	S	avicolapradera25@yahoo.com	praderafacturaelectronica2018@gmail.com
00076	PROLEX S.A.	ZONA FRANCA CARTAGO	99999999	3101079745	CRC	3000000.00000000	30	0006	S	msanabria@techspray.com	factura@itwcce.com
00077	DISTRIBUIDORA FLOREX DE CA  SA.	SAN RAMON	99999999	3101356793	CRC	300000.00000000	90	0014	S	compras1@florexcr.com	compras1@florexcr.com
00078	COOPESAIN RL	COSTADO SUR ESTADIO SAPRISSA, TIBAS	99999999	3004103760	CRC	1000000.00000000	30	0011	S	compras@coopesain.sa.cr	contabilidad@coopesain.sa.cr
00079	ASOC DE SERVICIOS MEDICOS COSTARRICENSES	SAN  JOSE- CLINICA BIBLICA ASEMECO	25221000	3002045363	CRC	50000000.00000000	30	0008	S	cbrenes@clinicabiblica.com	recepcionfe@clinicabiblica.com
00080	ASOCIACION MISIONEROS CLARETIANOS	HEREDIA MERCEDEZ NORTE DE LA IGLESIA 100 NORTE	99999999	3002361469	CRC	1000000.00000000	30	0011	S	contabilidad@claretiano.com	contabilidad@claretiano.com
00081	HOLOGIC  SURGICAL PRODUCTS DE CR SRL	ZONA FRANCA COYOL FRENTE RITEVE	99999999	3102348759	CRC	1000000.00000000	60	0003	S	luis.salas@hologic.com	CR-accounts.payable@hologic.com
00082	PANDUIT COSTA RICA LTDA	PISTA A GRECIA	99999999	3102159181	CRC	3000000.00000000	30	0012	S	CostaRicaAP@panduit.com	CostaRicaAP@panduit.com
00083	AGROINDUSTRIAL PROAVE S.A	CONTIGUO A INDUSTRIAS CARNICAS	99999999	3101274846	CRC	4000000.00000000	60	0008	S	cxpdocumentosinternos@dipcmi.co.cr	facturacr@somoscmi.com
00084	ELIMAR Y NAZLEA SA	ALAJUELA SAN RAMON 150M NORTESTE DE LA ESCUELA LABORATORIO CAMINO A CALLE VARELA.	99999999	3101391458	CRC	35000000.00000000	45	0009	S	facturaelectronica@salsasdelchef.com	facturaelectronica@salsasdelchef.com
00085	AVICULTORES UNIDOS AVUGA S A	LA GARITA ALAJUELA 250 OESTE DE LA ESCUELA LA GARITA	99999999	3101072057	CRC	1000000.00000000	30	0011	S	facturaelectronica@avugarita.com	facturaelectronica@avugarita.com
00086	COOPENSIONADOS R.L.	SAN JOSE	99999999	3004202543	CRC	300000.00000000	30	0011	S	recepcion@coopensionados.com	tesoreria@coopensionados.com
00087	FRICORISA	CIUDAD COLON, DE LA PLAZA VIA COLON 400 METROS OESTE CONTIGUO A CANTERA	99999999	3101186014	CRC	300000.00000000	30	0011	S	contabilidad@papicar.com	facturaelectronica@papicar.com
00088	INDUSTRIA CERAMICA COSTARRICENSE SA	URUCA 1KM OESTE DIR.GENERAL DE .AVIACION CIVIL	99999999	3101005808	CRC	3000000.00000000	30	0007	S	lilliana.tenorio@incesastd.com	facturasincesacr@corona.com.co
00089	PROCOMER	ESCAZÚ, PLAZA TEMPO CONTIGUO AL CIMA, 3E	99999999	3007196350	CRC	5000000.00000000	30	0011	S	mhernandez@procomer.com	sg@procomer.com
00090	ETIQUETAS IMPRESAS ETIPRES S.A	HEREDIA ,100 METROS OESTE Y 100 METROS SUR DE PEQUEÑO MUNDO AL FINAL DE LA ROTONDA.	99999999	3101070600	CRC	3000000.00000000	30	0007	S	contabilidad2@etipres.com	facturaelectronica@etipres.com
00091	PRODUCTOS SANITARIOS S A	LA RUSIA HEREDIA	99999999	3101246553	CRC	2000000.00000000	45	0003	S	a.contabilidad@saniprocr.com	fe.proveedores@saniprocr.com
00092	CORP. COMPAÑÍAS AGROINDUSTRIALES CCA, S.R.L	PESCADO Y MARISCOS/ALAJUELA	99999999	3102085278	CRC	2000000.00000000	90	0011	S	CAMCRCUE49@wal-mart.com	dtecr.prod@einvoicing.signature-cloud.com
00093	YENDRY CARDENAS BALLESTERO	entregar PROVEEDURIA ASEMECO	99999999	115530372	CRC	5000000.00000000	30	0011	S	yendry_gcb@hogmail.com	yendry_gcb@hogmail.com
00094	TRIMPOT ELECTRONICA LIMITADA	SAN ANTONIO BELEN 150 oeste del real cariari	99999999	3102038603	CRC	5000000.00000000	30	0012	S	cecilia.gonzalez@bourns.com	factura.electronicacr@bourns.com
00095	RESERVA CONCHAL SA	ENVIAR POR ENCOMIENDAS TEMPISQUE	99999999	3101124933	CRC	5000000.00000000	60	0012	S	tesoreriapagos@reservaconchal.com	facturacion@reservaconchal.com
00096	REPRESENTACIONES ROMA SA	QUINTA AVENIDA BARRIO ESCALANTE SAN JOSE	99999999	3101036367	CRC	300000.00000000	30	0011	S	mbrenes@reproma.com	FE@reproma.com
00097	ESCUELA AUTUMN MILLER	ALAJUELA DENTRO DE UNADECA de la corte 1.5 al norte	99999999	3002507577	CRC	300000.00000000	30	0011	S	ocruz@eam.cr	factura1@ica.ed.cr
00098	ZARATAN DEL ESTE SA	CTO EDUC. ARANDU, BELLO HORIZONTE ESCAZU	99999999	3101177031	CRC	1000000.00000000	30	0014	S	edwin.fernandez@arandu.co.cr	facturaelectronica@arandu.co.cr
00099	CORP. DE COMPAÑIAS AGROINDUSTRIAL CCA, S.R.L	200M OESTE DEL PLANTEL DE RECOPE, GARITA	99999999	3102085278	CRC	15000000.00000000	60	0007	S	CAMCRCUE49@wal-mart.com	dtecr.prod@einvoicing.signature-cloud.com
00100	EULEN DE COSTA RICA SA	ZAPOTE CONTIGUO AL  BCR	99999999	3101229409	CRC	25000000.00000000	45	0007	S	wcastro@eulen.com	fe.eulen@eulen.com
00101	ASOCIACION INSTITUTO CENTROAMERICANO ADVENTISTA	DENTRO DE UNADECA AJUELA	99999999	3002507577	CRC	300000.00000000	30	0007	S	ocruz@eam.cr	factura1@ica.ed.cr
00102	ENERSYS MVA CR SA	ALAJUELA DETRAS DEL HOTEL HAMPTON	99999999	3101343092	CRC	300000.00000000	30	0011	S	recepcionfacturaelectronica@enersycr.com	recepcionfacturaelectronica@enersycr.com
00103	ANVECO CR SA	SAN JOSE CLINICA BIBLICA	99999999	3101236656	CRC	300000.00000000	30	0008	S	kmerlog@ClinicaBiblica.com	recepcionfe@clinicabiblica.com
00104	RECOLECTORA ALAJUELENSE DE BASURA SA	ALAJUELA 200 OESTE MATADERO MONTECILLOS	99999999	3101129088	CRC	5000000.00000000	30	0011	S	crodriguez@tecnoambientecr.com	compras@tecnoambiente.com
00105	ASOC. SOLIDARISTA COLAB DHL EXPRESS & L	AURORA HEREDIA	99999999	3002045778	CRC	300000.00000000	30	0011	S	gina.carrion@asdhl.net	supervision@asdhl.net
00106	COMPAÑIA AMERICANA DE HELADOS S.A	URUCA	99999999	3101011086	CRC	90000000.00000000	90	0008	S	dtecr.prod@einvoicing.signature-cloud.com	fe@pops.co.cr
00107	SERVICIOS CONSULTORIA DE OCCIDENTE SA	SAN RAMON FLOREX	99999999	3101165549	CRC	5000000.00000000	90	0011	S	compras3@scosacr.com	compras3@scosacr.com
00108	PAVA DE GRECIA S A	GRECIA SANTA GERTRUDIS SUR ENTRADA AL CALLE GUAYABAL	99999999	3101177147	CRC	1.00000000	1	0011	S	apaniagua@pavacr.com	facturaelectronica@pavacr.com
00109	ILG SUPPLY CHAIN SERVICE S.A.	LA VALENCIA,  ENTRADA PROMADERAS 300 SUR	99999999	3101016825	CRC	3000000.00000000	30	0011	S	german.fernandez@ilglogistics.com	pagoproveedorSCS@ilglogistics.com
00110	TLS PRECISION S.A.	ALAJUELA TAMBOR QUEBRADAS, DEL TEMPLO CATOLICO 600 NORTE Y 250 OESTE	99999999	3101290510	CRC	1.00000000	1	0011	S	factura@tlsprecision.com	factura@tlsprecision.com
00111	TEGRA MEDICAL COSTA RICA S.A.	ZONA FRANCA GLOBAL AURORA HEREDIA	99999999	3101425102	CRC	3000000.00000000	60	0014	S	rsanchez@tegramedical.com	lbrown@tegramedical.com
00112	CENTRO DE DISTRIBUCION ILG LOGISTICS S.A	BODEGAS KIMBERLY DESAMPARADOS	99999999	3101275741	CRC	1000000.00000000	30	0011	S	german.fernandez@ilglogistics.com	cxpilgcr@ilglogistics.com
00113	ONCE MEDICOS SA	SAN JOSE CLINICA BIBLICA	99999999	3101344138	CRC	1.00000000	1	0011	S	mpalavicinini@clinicabiblica.com	melvin.salas@hotmail.com
00114	QUIMYCZA SA	OROTINA	99999999	3101128353	CRC	1000000.00000000	8	0005	S	quimycza.s.a@hotmail.com	quimycza.s.a@gmail.com
00115	REM SA	LA URUCA / CONTIGUO A REPRETEL	99999999	3101017395	CRC	500000.00000000	30	0011	S	cxp@remsacr.com	cxp@remsacr.com
00116	FORMULACIONES QUIMICAS  SA	PAVAS	26388283	3101042720	CRC	25000000.00000000	30	0003	S	mchaves@formuquisa.com	compras@formuquisa.com
00117	CONSEJEROS ECONOMICOS Y FINANCIEROS SA	SAN PEDRO BNCR 100 E 400 S CASA ESQ/ 3 P	99999999	3101036138	CRC	300000.00000000	30	0011	S	info@cefsa.cr	facturacion@cefsa.cr
00118	QUIMICA DELTA SA	SAN PEDRO POAS	99999999	3101223489	CRC	5000000.00000000	30	0007	S	facturas@quimicadeltacr.com	facturas@quimicadeltacr.com
00119	GLOBAL KEMICAL SA	COYOL DE ALAJUELA ZONA FRANCA BES LOCAL #12A	99999999	3101118925	CRC	25000000.00000000	60	0009	S	gkfactura@kemical.net	gkfactura@kemical.net
00120	ALINEAMIENTO AUTO CENTRO SA	PALMARES, DEL ESTADIO 150 ESTE	99999999	3101352988	CRC	300000.00000000	30	0011	S	facturas.autocentro@gmail.com	facturas.autocentro@gmail.com
00121	KAF INTERNACIONAL SA	700 ESTE ZOO AVE LA GARITA	99999999	3101127687	CRC	3000000.00000000	30	0005	S	kafintsa@ice.co.cr	kafintsa@ice.co.cr
00122	GAS NACIONAL ZETA SA	BARREAL DE HEREDIA	99999999	3101114502	CRC	1000000.00000000	30	0011	S	gsegura@zetagas.co.cr	facturaproveedores@zetagas.co.cr
00123	CENTRO DERMATOLOGIA AVANZADA S.A.	SAN JOSE, TORRE OMEGA PISO 8/ DRA JOSEPHINE HERNAN	99999999	3101536663	CRC	300000.00000000	30	0005	S	derma.avanzada@gmail.com	proveedores.cda@gmail.com
00124	EMPRESA SERVICIOS PUBLICOS DE HEREDIA SA	CED JUR 3-101-042028/	99999999	3101042028	CRC	3000000.00000000	45	0011	S	msibaja@esph-sa.com	facturas-gisa@esph-sa.com
00125	SITERE	SAN JOSE HOSPITAL CLINICA BIBLICA	99999999	3101338976	CRC	300000.00000000	30	0011	S	ycardenas@clinicabiblica.com	ycardenas@clinicabiblica.com
00126	CARNES CASTILLO CC SA	COSTA SUR PLAZA DEL CARMEN ALAJUELA	99999999	3101547065	CRC	300000.00000000	30	0014	S	c.pagar@carnescastillo.net	comprobanteelectronico@carnescastillo.net
00127	GOMEN SA	CARTAGO SAN NICOLAS OCHOMOGO DE LOS TANQUES DE RECOPE 150 ESTE SOBRE AVENIDA 61	99999999	3101153349	CRC	1200000.00000000	30	0011	S	mauricio.calderon@ladespensa.com	sylvia.chavarria@ladespensa.com
